City,it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText.imgUrl,trendingText.heading,trendingText.desc,Engine Displacement,Fuel Type,Insurance Validity,Kms Driven,Ownership,RTO,Registration Year,Seats,Transmission,Year of Manufacture,Acceleration,Alloy Wheel Size,BoreX Stroke,Cargo Volumn,Color,Compression Ratio,Displacement,Drive Type,Engine,Engine Type,Front Brake Type,Front Tread,Fuel Suppy System,Gear Box,Gross Weight,Ground Clearance Unladen,Height,Kerb Weight,Length,Max Power,Max Torque,Mileage,No Door Numbers,No of Cylinder,Rear Brake Type,Rear Tread,Seating Capacity,Seats,Steering Type,Super Charger,Top Speed,Torque,Turbo Charger,Turning Radius,Tyre Type,Value Configuration,Values per Cylinder,Wheel Base,Wheel Size,Width
Bangalore,0,Petrol,Hatchback,"1,20,000",Manual,3,3rd Owner,Maruti,Maruti Celerio,2015,3979,VXI,₹ 4 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,998 cc,Petrol,Third Party insurance,"1,20,000 Kms",Third Owner,KA51,2015,5 Seats,Manual,2015,15.05 Seconds,,73 X 82 mm,235-litres,White,11.0:1,998,FWD,998 CC,K10B Engine,Ventilated Disc,1420mm,MPFi,5 Speed ,1250kg,,1565mm,835kg,3715mm,67.04bhp,90Nm@3500rpm,23.1 kmpl,5,3,Drum,1410mm,5,5,Power,No,150 Kmph,90Nm,No,4.7 metres,"Tubeless, Radial",DOHC,4,2425mm,,1635mm
Bangalore,0,Petrol,SUV,"32,706",Manual,2,2nd Owner,Ford,Ford Ecosport,2018,6087,1.5 Petrol Titanium BSIV,₹ 8.11 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,1497 cc,Petrol,Comprehensive,"32,706 Kms",Second Owner,KA05,Feb 2018,5 Seats,Manual,2018,,16,79 X 76.5 mm,352-litres,White,11.0:1,1497,FWD,1497 CC,Ti-VCT Petrol Engine,Ventilated Disc,,Direct Injection,5 Speed,1660Kg,,1647mm,1242Kg,3998mm,121.31bhp,150Nm@4500rpm,17 kmpl,4,3,Drum,,5,5,Power,No,,150Nm,No,5.3 metres,"Tubeless,Radial",DOHC,4,2519mm,16,1765mm
Bangalore,0,Petrol,Hatchback,"11,949",Manual,1,1st Owner,Tata,Tata Tiago,2018,2983,1.2 Revotron XZ,₹ 5.85 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,1199 cc,Petrol,Comprehensive,"11,949 Kms",First Owner,KA03,Sept 2018,5 Seats,Manual,2018,14.3 Seconds,14,77 X 85.8 mm,242-litres,Red,10.8:1,1199,FWD,1199 CC,Revotron Engine,Disc,1400mm,MPFi,5 Speed,,,1535mm,1012kg,3746mm,84bhp,114Nm@3500rpm,23.84 kmpl,5,3,Drum,1420mm,5,5,Power,No,150 kmph,114Nm,No,4.9 meters,Tubeless,DOHC,4,2400mm,14,1647mm
Bangalore,0,Petrol,Sedan,"17,794",Manual,1,1st Owner,Hyundai,Hyundai Xcent,2014,1867,1.2 Kappa S Option,₹ 4.62 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,1197 cc,Petrol,Comprehensive,"17,794 Kms",First Owner,KA53,Dec 2014,5 Seats,Manual,2014,14.2 Seconds,14,,407-litres,Others,,1197,FWD ,1197 CC,Kappa VTVT Petrol Engine,Disc ,1479mm,Direct Injection,5 Speed ,,,1520mm,1180,3995mm,81.86bhp,113.75Nm@4000rpm,19.1 kmpl,4,4,Drum,1493mm,5,5,Power,No,172km/hr,113.75Nm,No,4.7 metres,"Tubeless,Radial",DOHC,4,2425mm,14,1660mm
Bangalore,0,Diesel,SUV,"60,000",Manual,1,1st Owner,Maruti,Maruti SX4 S Cross,2015,4277,DDiS 200 Zeta,₹ 7.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,1248 cc,Diesel,Third Party insurance,"60,000 Kms",First Owner,KA04,2015,5 Seats,Manual,2015,12 Seconds,16,69.6 x 82 mm,353-litres,Gray,,1248,FWD,1248 CC,DDiS 200 Diesel Engine,Ventilated Disc,,,5 Speed,1670kg,,1595mm,1230Kg,4300mm,88.5bhp,200Nm@1750rpm,23.65 kmpl,5,4,Solid Disc,,5,5,Power,No,190 Kmph,200Nm,Yes,5.2 meters,"Tubeless,Radial",DOHC,4,2600mm,16,1785mm
Bangalore,0,Diesel,SUV,"20,000",Manual,1,1st Owner,Jeep,Jeep Compass,2020,5931,2.0 Longitude BSIV,₹ 19 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,1956 cc,Diesel,Third Party insurance,"20,000 Kms",First Owner,KA04,2020,5 Seats,Manual,2020,,17,,408-litres,Others,,1956,4X2,1956 CC,2.0-Litre 4-Cyl Multijet II Engine,Disc,,CRDI,6 Speed,,,1640mm,1551 kgs,4395mm,170bhp,350Nm@1750-2500rpm,17.1 kmpl,5,4,Discs,,5,5,power,No,,350Nm,Yes,,"Radial, Tubless",DOHC,4,2636mm,17,1818mm
Bangalore,0,Petrol,Hatchback,"37,772",Manual,1,1st Owner,Datsun,Datsun GO,2017,5223,T Option BSIV,₹ 3.45 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,1198 cc,Petrol,Comprehensive,"37,772 Kms",First Owner,KA05,Aug 2017,5 Seats,Manual,2017,13.3 Seconds,,,265-litres,Grey,,1198,FWD,1198 CC,Petrol Engine, Disc,1440mm,Electronic Injection System,5 Speed,,,1490mm,1070,3785mm,67bhp,104Nm@4000rpm,20.63 kmpl,5,3,Drum,1445mm,5,5,Power,No,150 Kmph,104Nm,No,4.6 metres,Tubeless,DOHC,4,2450mm,,1635mm
Bangalore,0,Petrol,SUV,"30,000",Automatic,1,1st Owner,Hyundai,Hyundai Venue,2021,6946,SX Plus Turbo DCT BSIV,₹ 12 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,998 cc,Petrol,Third Party insurance,"30,000 Kms",First Owner,KA51,2021,5 Seats,Automatic,2021,,16,,350,Others,,998,FWD,998 CC,,Disc,,GDi,7-Speed,,190mm,1605 mm,1440,3995 mm,118.35bhp,171.6Nm@1500-4000rpm,18.15 kmpl,5,3,Drum,,5,5,Power,,,171.6Nm,Yes,,Radial,,4,2500 mm,16,1770 mm
Bangalore,0,Petrol,Sedan,"37,000",Automatic,1,1st Owner,Maruti,Maruti Ciaz,2018,6555,Alpha Automatic BSIV,₹ 9.60 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,1462 cc,Petrol,Comprehensive,"37,000 Kms",First Owner,KA03,Aug 2018,5 Seats,Automatic,2018,,16,74 x 85 mm,510-litres,Maroon,,1462,FWD,1462 CC,k15B VVT Engine,Ventilated Disc,,MPFI,4 Speed,1530Kg,,1485 mm,1105,4490 mm,103.25bhp,138Nm@4400rpm,20.28 kmpl,4,4,Drum,,5,5,Power,No,,138Nm,No,5.4 metres,"Tubeless, Radial",DOHC,4,2650 mm,16,1730 mm
Bangalore,0,Petrol,Hatchback,"11,949",Manual,1,1st Owner,Tata,Tata Tiago,2017,2985,1.2 Revotron XZ WO Alloy,₹ 5.85 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,1199 cc,Petrol,Comprehensive,"11,949 Kms",First Owner,KA03,Jan 2018,5 Seats,Manual,2017,14.3 Seconds,,77 X 85.8 mm,242-litres,Red,10.8:1,1199,FWD,1199 CC,Revotron Engine,Disc,1400mm,MPFi,5 Speed,,,1535mm,1012kg,3746mm,84bhp,114Nm@3500rpm,23.84 kmpl,5,3,Drum,1420mm,5,5,Power,No,150 kmph,114Nm,No,4.9 meters,Tubeless,DOHC,4,2400mm,,1647mm
